,song_id,name_song,listOfNames_song,artist_id,name_artist,listOfNames_artist,artistnames,trackName,trackID,albumID,artistIDs,explicit,popularity
7753,7753,There Will Never Be Another Tonight,['There Will Never Be Another Tonight'],2595,Bryan Adams,['Bryan Adams'],['Bryan Adams'],There Will Never Be Another Tonight,spotify:track:4AKDR89HiaYIeRsxBwpUMR,spotify:album:0RhmLffWf3oRr6ahOS6G47,['spotify:artist:3Z02hBLubJxuFJfhacLSDc'],False,37.0
7754,7754,This Is Your Life,['This Is Your Life'],3009,Londonbeat,['Londonbeat'],['Londonbeat'],This Is Your Life,spotify:track:6mTi0iKZjbJcZnNHSjcXOL,spotify:album:345whqnlVlRitnTf06IRDF,['spotify:artist:0gcMPgunYh4rX1UOdvZKBn'],False,2.0
7755,7755,Get Ready For This,['Get Ready For This'],3436,2 Unlimited,['2 Unlimited'],['Albert 2 Stone'],Get Ready for This (Karaoke Version) - Originally Performed By 2 Unlimited,spotify:track:5aZlGsxMP1OIAJADnBSzM1,spotify:album:7pJCFawkWyDH8mP3yMKMNM,['spotify:artist:6q6D8PiXlLQKNlCGjDyVrI'],False,1.0
7756,7756,Still On Your Side,['Still On Your Side'],3243,Rene Froger,['Rene Froger'],['Rene Froger'],Still On Your Side,spotify:track:0XpkOCiW2X2OqEmD7AEDUZ,spotify:album:5gcdkWj9mVMAjFIOHvwKhm,['spotify:artist:5MvyMusqNikgVgkKHLc3pb'],False,13.0
7757,7757,Shining Star,['Shining Star'],2454,INXS,['INXS'],['INXS'],Shining Star,spotify:track:0GgrbWzPreNCH0yWVEPTPq,spotify:album:5iRDO2cnFmb95rjzpiVJrT,['spotify:artist:1eClJfHLoDI4rZe5HxzBFv'],False,31.0
7758,7758,Mysterious Ways,['Mysterious Ways'],2260,U2,['U2'],['U2'],Mysterious Ways,spotify:track:3M6V9x6zbwM4s2zXNfwv3X,spotify:album:1U69hFsxaQxP6fquZmOmNH,['spotify:artist:51Blml2LZPmy7TTiAg47vQ'],False,50.0
7759,7759,Diamonds & Pearls,['Diamonds & Pearls'],3437,Prince & The New Power Generation,['Prince & The New Power Generation'],['Prince'],Diamonds And Pearls,spotify:track:4mfyehYgUP2V8jsjW9UzYj,spotify:album:6dRctIZQKuZCSSoR6QBBv9,['spotify:artist:5a2EaR3hamoenG9rDuVn8j'],False,46.0
7760,7760,Ik Vraag Aan Sinterklaas Een Heel Gelukkig Kerstfeest,['Ik Vraag Aan Sinterklaas Een Heel Gelukkig Kerstfeest'],3438,Henk Temming,['Henk Temming'],['Henk Temming'],Ik Vraag Aan Sinterklaas Een Heel Gelukkig Kerstfeest,spotify:track:47nuTWcjQUxwC7Sy0JbzZt,spotify:album:04QCIojyOC1GPEr1OCph8q,['spotify:artist:5ARyKajnXstAddT5CWO3mL'],False,25.0
7761,7761,Skat Strut,['Skat Strut'],3439,MC Skat Kat and The Stray Mob,['MC Skat Kat and The Stray Mob'],[None],,,,[None],,
7762,7762,Elke Vrouw,['Elke Vrouw'],3311,Hanny,['Hanny'],['Hanny'],Elke Vrouw,spotify:track:6ak4dcfLltay3EGwSBk7ad,spotify:album:7sAQflZUAjulC6nxgguMZv,['spotify:artist:192dcyn9q1MqypeEL4UKiU'],False,0.0
7763,7763,Justified & Ancient,['Justified & Ancient'],3332,The KLF,['The KLF'],['The Karaoke Crew'],Justified and Ancient (As Made Famous by KLF and Tammy Wynette),spotify:track:6h7yPtIxM4gdOOyzs2Gm9Q,spotify:album:5fzFKM4RXjRiZZIsKxdu4E,['spotify:artist:0GRelLAVHzwasg0Ja7gJUy'],False,0.0
