acousticness,danceability,duration_ms,energy,id,instrumentalness,liveness,loudness,mode,speechiness,tempo,time_signature,valence
0.758,0.513,167800,0.39,0rmo2z33HYChd2acGpwVOG,2.26e-05,0.298,-12.509,1,0.0259,81.518,4,0.792
0.652,0.121,180627,0.536,0ffChmfi9hotwwC2ZwMVfT,6.1e-05,0.205,-8.723,1,0.0327,172.806,3,0.427
0.909,0.262,158253,0.341,7dHlQJqO7UWa9E2Vm9Z5S0,0.0,0.0896,-11.323,1,0.037,86.945,4,0.374
0.033,0.432,171093,0.448,01SvVpoIcNUvN8Fp90Xsud,3.21e-05,0.0993,-14.662,1,0.0408,118.101,4,0.787
0.309,0.663,149840,0.405,67Wkfb6aX9bgRDAUxKDMEd,0.00112,0.132,-12.865,1,0.089,61.974,4,0.822
0.188,0.534,139560,0.725,5ou2BiQ9FxIYkxsYvYHpAT,0.0,0.0994,-7.576,0,0.0332,95.003,4,0.763
0.514,0.311,157827,0.775,0s7JK7h4rlpAYG0pEJC9Ow,0.00108,0.306,-6.273,1,0.0436,96.158,3,0.427
0.408,0.623,148626,0.514,4YmOc3Vwnm9fOsnDWiK2qy,0.0,0.0796,-7.29,1,0.0254,98.651,4,0.397
0.463,0.586,146187,0.51,5q8U2NsIc57QWjY7MZi371,0.0,0.221,-9.072,1,0.0379,119.045,4,0.638
0.229,0.494,147893,0.666,0AiuEo7FCxP2y2WTOpLPe5,5.69e-05,0.0469,-9.743,0,0.0351,140.832,4,0.699
0.764,0.282,171200,0.274,1OJY5B4vKuOgZkmt8qOHeH,0.0,0.464,-13.506,0,0.0301,102.016,3,0.208
0.9,0.605,142733,0.334,1EQM2dzVfURV0WklqRK4rV,0.0121,0.0959,-14.555,0,0.0364,105.049,4,0.667
0.0229,0.65,159867,0.897,58cDx1uTmaAaF2rqU0UrtF,0.0124,0.396,-7.368,1,0.0377,123.833,4,0.925
0.0348,0.725,222813,0.853,7fSGbZLhWlAiCC3HDPAULu,0.127,0.196,-7.842,1,0.0353,136.282,4,0.904
0.174,0.615,202813,0.463,4h1PYaqQbkxUQT0la30SMz,4.22e-05,0.536,-13.249,0,0.054,132.571,4,0.54
0.18,0.352,156440,0.797,5P3qlhlQnyPzwZRVzdL4l4,0.0,0.223,-6.472,0,0.0339,86.163,4,0.691
0.246,0.4,127467,0.669,1LLRDElWPw0p4ZLgHBQy8Y,0.0,0.678,-10.661,1,0.0373,93.275,3,0.679
0.756,0.391,128800,0.463,2HkHE4EeZyx9AncSN042q3,0.0,0.109,-13.301,1,0.148,184.256,3,0.594
0.751,0.776,128493,0.626,6hVyDEqxmtOgQuVfTvgnee,0.0,0.0743,-10.615,1,0.344,136.334,4,0.946
0.586,0.588,192840,0.444,48t1ooCntbAzQW4HVGofkc,0.0,0.146,-9.781,1,0.0362,124.321,4,0.487
0.729,0.483,369600,0.721,3AhXZa8sUQht0UEdBJgpGc,0.0,0.189,-6.836,1,0.032,95.261,4,0.562
0.246,0.621,193840,0.708,2SWBfqj1FrS8t8z56G55rP,2e-06,0.143,-9.057,1,0.0259,110.533,3,0.624
0.111,0.452,123760,0.574,1MI0O2mwTpdwkZpfWz4J7o,0.0,0.0823,-7.936,1,0.0321,123.204,4,0.811
0.522,0.404,165000,0.715,7KyKvkwUv7YojtOxKey5TN,0.0,0.387,-8.614,0,0.0346,125.873,4,0.553
0.108,0.617,111960,0.696,7goYWv23g1DALXGqinidGY,8.49e-05,0.169,-10.678,1,0.185,184.804,4,0.931
0.542,0.453,142067,0.77,6Yc2bkiq8EMbNuOKIuWabp,1.52e-06,0.0778,-5.484,0,0.0469,111.209,4,0.691
0.535,0.376,215840,0.199,5RWcE4Poc4Un93zzhwKvrK,0.0,0.598,-16.679,1,0.0288,98.97,3,0.247
0.582,0.6,132493,0.29,78NYkSHX5zt3yazfGbMBu4,0.0,0.133,-11.629,1,0.0402,100.531,4,0.496
0.233,0.652,159133,0.619,3bZgT6NLyImvZ1TcB5v132,5.07e-05,0.32,-8.97,1,0.038,120.658,4,0.908
0.197,0.45,179560,0.535,2kWCIbSv7p1tqnrCNJQkIA,0.0,0.258,-9.513,1,0.0347,137.343,4,0.743
0.295,0.496,108533,0.789,7edeErKrAHq7NTipWyuWlu,0.0,0.0616,-8.336,1,0.0672,126.294,4,0.75
0.612,0.615,134667,0.738,4Kr6zdp5thesaEuFDbmhHP,0.0,0.21,-7.633,1,0.0266,100.3,4,0.81
0.471,0.503,160360,0.62,6bJuuCtXYiwOcKT9s8uRh8,0.0,0.159,-6.069,1,0.0295,116.595,4,0.713
0.492,0.675,153147,0.588,2wTdZ6wy0AJp5LcYzWcVt5,9.45e-06,0.0953,-11.031,1,0.0457,82.949,4,0.94
0.749,0.648,141320,0.79,38nioqOhQDH81bPWNTKHJO,0.0,0.0478,-5.085,1,0.0478,120.597,4,0.906
0.801,0.527,207573,0.415,5Yk00noy73QBlKoXCmxQQA,0.0012,0.147,-12.313,1,0.0323,120.281,4,0.372
0.69,0.253,167093,0.57,1ZCNdktzp1jXQtuQdS0yek,0.00149,0.554,-7.582,1,0.0319,88.184,4,0.542
0.615,0.432,143035,0.445,3tuup6TfHtbNdqlbF01HrX,0.000212,0.123,-12.945,1,0.0325,89.093,3,0.508
0.387,0.613,215827,0.307,1Zi2ezNOqt9y9irC11xYpN,4.52e-06,0.087,-17.385,1,0.0414,117.305,4,0.789
0.406,0.274,170840,0.659,3Sju0jbR35bTfajNgbkgFy,1.95e-05,0.346,-5.557,1,0.0334,177.732,3,0.532
0.531,0.869,161027,0.394,7M965HBRAqQoNjI5fSzDVm,0.0,0.0517,-11.985,1,0.0391,117.888,4,0.974
0.281,0.469,130987,0.394,20j057asFeMXWdwDh2Rnxk,0.0,0.106,-11.02,1,0.0447,198.62,4,0.843
0.0722,0.491,137133,0.774,3PWGOe61M4iHWPkhOo0yoT,0.00159,0.247,-6.775,0,0.0326,137.192,4,0.824
0.76,0.378,154213,0.795,55tycSvFcOF1F97FJJGxVH,0.054,0.156,-7.493,1,0.0463,136.648,3,0.679
0.209,0.373,214427,0.487,2NSRCbvV9CaRUN8zJauMOl,1.74e-05,0.0948,-8.48,1,0.0351,104.476,3,0.804
0.145,0.547,179800,0.703,1TdmzgmdjrKQjJWk4jTGlO,0.0,0.158,-7.606,1,0.0323,108.004,4,0.641
0.473,0.54,194400,0.492,1DM97JJjBJShdMuWI0B5L9,0.0,0.046,-9.087,1,0.0286,121.832,4,0.552
0.382,0.547,160320,0.833,5HDwIHT7fkHuKzbZ5j78i3,3.59e-05,0.0249,-2.536,1,0.0849,106.042,4,0.736
0.49,0.594,169867,0.522,5muCf2hwJ5r9mt7FsDGbLI,1.91e-05,0.315,-12.784,1,0.0377,120.024,4,0.526
0.49,0.652,351427,0.515,0srm8RgwUfBvwdXKvkyDlT,0.14,0.962,-19.55,1,0.118,143.004,4,0.645
0.879,0.332,125667,0.179,1e0hllQ23AG0QGFgezgLOq,0.0,0.0886,-11.83,1,0.0326,96.529,4,0.315
0.942,0.31,262587,0.325,4XpwEPpm1kRRaluYP85Lld,0.000412,0.891,-13.118,1,0.0464,82.284,4,0.19
0.388,0.688,191332,0.668,1UGRl3kBWlc0aEe2jafsyZ,0.0,0.0675,-11.316,1,0.0314,116.919,4,0.726
0.0366,0.622,179693,0.395,30EmdbhfuBgKd9jtQQag9r,0.0,0.264,-14.274,1,0.0569,139.334,4,0.629
0.501,0.68,127893,0.585,2cwnowGQztkiuCipLNi0WU,3.47e-05,0.111,-9.92,1,0.0767,77.406,4,0.973
0.113,0.477,131493,0.591,0UexARyVkiPBtaXVCNUmJY,0.0,0.162,-6.534,1,0.0264,87.443,3,0.754
0.134,0.589,145906,0.657,2NylZdlD7SljHUxt5EyID8,3.73e-06,0.0999,-7.391,1,0.0319,107.625,4,0.377
0.566,0.31,130427,0.368,5sIS1EI7qT7R6Q79JudCnR,0.00224,0.0892,-7.801,1,0.0293,90.669,4,0.322
0.297,0.53,161587,0.873,2jePyC6keMl30hauL5uMgR,0.0,0.0521,-5.105,0,0.118,162.154,4,0.583
0.5,0.821,145773,0.592,3OBJAPdVdVat3I74mhjOMW,0.0,0.208,-12.736,1,0.0513,133.717,4,0.964
0.0321,0.578,175080,0.879,1mI9T29Hu53IdDzRcPZDYg,0.675,0.0617,-8.676,1,0.0565,126.116,4,0.871
0.00752,0.733,174880,0.84,5BCcTvJhJ2cEAM9IUSh7vI,0.0,0.142,-4.208,1,0.0333,107.932,4,0.798
0.817,0.556,247867,0.463,4heMx0OAwfILu13Lf0VbBM,0.0,0.116,-10.79,1,0.0268,109.586,4,0.764
0.808,0.694,121733,0.54,6xRNZHR6CHl5y87Y75sGfu,0.0,0.318,-11.529,1,0.036,141.151,4,0.961
0.0726,0.657,143027,0.573,1ZgwBwwv2ZSio9vXudcoDc,7.79e-05,0.087,-7.744,1,0.0488,157.457,4,0.726
0.241,0.736,143733,0.585,0eNunpcr6rswBIxuwaxEBe,1.37e-05,0.248,-8.382,0,0.0301,132.379,4,0.789
0.308,0.412,198707,0.782,6awTbDHgM907tGecNQYPaV,0.00822,0.0775,-9.186,0,0.058,96.732,4,0.705
0.615,0.441,179960,0.415,3WCKK85ADLmVIO4f8cIzgS,0.000756,0.158,-10.947,1,0.0309,121.617,4,0.517
0.259,0.676,132493,0.796,2oJMf5PobgFPSJ3Dde268T,0.00093,0.203,-10.526,1,0.0338,139.679,4,0.977
0.00226,0.593,189267,0.592,2IXGIhLcTl5WsCcFYuq3Tt,9.36e-06,0.232,-7.75,1,0.0311,122.848,4,0.652
