,song_id,name_song,listOfNames_song,artist_id,name_artist,listOfNames_artist
568,241,Ik Heb Me Weer Vergist,['Ik Heb Me Weer Vergist'],147,Bob Smit en het Duke City Sextet o.l.v. van Jan Bijlaart,"['Bob Smit en het Duke City Sextet o.l.v. van Jan Bijlaart', 'Bob Smit en het Duke City Se']"
571,243,I'll Cry,"[""I'll Cry""]",149,Roek Williams and The Fighting Cats & Orkest o.l.v. H. v Hoof Jr.,['Roek Williams and The Fighting Cats & Orkest o.l.v. H. v Hoof Jr.']
572,254,'n Glaasje Madera M' Dear?,"[""'n Glaasje Madera M' Dear?""]",150,Ted De Braak,['Ted De Braak']
581,259,That Day,['That Day'],154,The Golden Ear-Rings,"['The Golden Ear-Rings', 'The Golden Ear']"
582,260,Baldheaded Woman (No Sugar In My Coffee) / Baldheaded Woman,"['Baldheaded Woman (No Sugar In My Coffee) ', ' Baldheaded Woman', 'Baldheaded Woman ', 'No Sugar In My Coffee', 'Baldheaded Woman No Sugar In My Coffee ']",155,Jay-Jays / The Torero's,"['Jay-Jays ', "" The Torero's"", 'Jay']"
583,262,As Tears Go By,['As Tears Go By'],156,The Torero's,"[""The Torero's""]"
464,263,Tjingeling,['Tjingeling'],101,Johnny Lion,['Johnny Lion']
368,267,Midnight To Six Men,['Midnight To Six Men'],84,The Pretty Things,['The Pretty Things']
588,268,Such A Cad,['Such A Cad'],158,Les Baroques,['Les Baroques']
608,282,Ard En Keessie,['Ard En Keessie'],165,Johnny Hoes en Het Heya Heya Koor,['Johnny Hoes en Het Heya Heya Koor']
282,284,Giddy Up Go,['Giddy Up Go'],64,Cowboy Gerard,['Cowboy Gerard']
638,297,Moon Over Naples,['Moon Over Naples'],174,Bert Kaempfert and His Orchestra,['Bert Kaempfert and His Orchestra']
641,300,Te Laat,['Te Laat'],176,Bob Smit en Het Duke City Sextet o.l.v. Jan Bijlaart,"['Bob Smit en Het Duke City Sextet o.l.v. Jan Bijlaart', 'Bob Smit en Het Duke City Se']"
642,301,Ik Ben Gelukkig Zonder Jou,['Ik Ben Gelukkig Zonder Jou'],177,Conny Van Den Bos,['Conny Van Den Bos']
651,308,The Sun Ain't Gonna Shine Any More,"[""The Sun Ain't Gonna Shine Any More""]",180,The Walker Brothers,['The Walker Brothers']
663,318,Juanita Banana,['Juanita Banana'],186,The Peels / Het Cocktail Trio met medewerking van Fiet Koster,"['The Peels ', ' Het Cocktail Trio met medewerking van Fiet Koster']"
664,319,Trouw Niet Voor Je Veertig Bent,['Trouw Niet Voor Je Veertig Bent'],187,Lowland Trio,['Lowland Trio']
504,325,If You Leave Me,['If You Leave Me'],119,The Golden Earrings,['The Golden Earrings']
679,331,Monday Monday,['Monday Monday'],192,The Mama's and The Papa's,"[""The Mama's and The Papa's""]"
589,336,I Know,['I Know'],158,Les Baroques,['Les Baroques']
691,339,Russian Spy And I,['Russian Spy And I'],195,The Hunters,['The Hunters']
714,343,Patsy Girl,['Patsy Girl'],199,Ross McManus and The Joe Loss Blue Beats,['Ross McManus and The Joe Loss Blue Beats']
721,356,Fijn Op Terschelling,['Fijn Op Terschelling'],203,Betsy & Max Anders,"['Betsy & Max Anders', 'Betsy & Ma']"
729,361,I'll Be Free,"[""I'll Be Free""]",207,InCrowd ((NLD)),['InCrowd ((NLD))']
731,363,Jimmy Walker,['Jimmy Walker'],209,Yvonne de Nijs met The Feetwarmers o.l.v. Gaby Dirne,['Yvonne de Nijs met The Feetwarmers o.l.v. Gaby Dirne']
680,386,I Saw Her Again,['I Saw Her Again'],192,The Mama's and The Papa's,"[""The Mama's and The Papa's""]"
751,391,Take Your Time,['Take Your Time'],221,Roek Williams en The Fighting Cats,['Roek Williams en The Fighting Cats']
783,404,Jongens Van Achttien Jaar,['Jongens Van Achttien Jaar'],227,De Zangeres Zonder Naam,['De Zangeres Zonder Naam']
844,419,De Wereld Is Leeg Zonder Jou,['De Wereld Is Leeg Zonder Jou'],237,Suzie,['Suzie']
692,420,Janosh,['Janosh'],195,The Hunters,['The Hunters']
846,423,Ik Bewonder Jou,['Ik Bewonder Jou'],239,John Lamers,['John Lamers']
878,448,Ik Ben Je Kwijt,['Ik Ben Je Kwijt'],251,Bob Smit en Het Duke City Sextet,"['Bob Smit en Het Duke City Sextet', 'Bob Smit en Het Duke City Se']"
670,471,Willow Weep For Me,['Willow Weep For Me'],189,Alan Price Set,['Alan Price Set']
750,481,True Story,['True Story'],220,Twice As Much,['Twice As Much']
958,483,"Mensen, Geeft Elkaar Een Hand","['Mensen, Geeft Elkaar Een Hand']",263,Lily Kok,['Lily Kok']
590,484,Working On A Tsjing Tsjang,['Working On A Tsjing Tsjang'],158,Les Baroques,['Les Baroques']
969,487,Tomorrow,['Tomorrow'],265,The Condors,['The Condors']
972,496,Jelle Zal Wel Zien / Waar We Heen Gaan.... Jelle Zal Wel Zien / Jelle Sal Wel Sien,"['Jelle Zal Wel Zien ', ' Waar We Heen Gaan.... Jelle Zal Wel Zien ', ' Jelle Sal Wel Sien']",268,Albert Brosens en De Deurdouwers / Johnny Hoes / Karin Kent,"['Albert Brosens en De Deurdouwers ', ' Johnny Hoes ', ' Karin Kent']"
1000,509,You Go Your Way,['You Go Your Way'],277,Davy Jones,['Davy Jones']
596,511,Allemaal Op De Bok,['Allemaal Op De Bok'],161,Sjakie Schram,['Sjakie Schram']
1006,518,A Girl Like You,['A Girl Like You'],280,The Sandy Coast,['The Sandy Coast']
1030,531,M'n Opa,"[""M'n Opa""]",288,Hetty Blok en Leen Jongewaard,['Hetty Blok en Leen Jongewaard']
1034,538,Fandango - The Crazy Bull / Fandango (Crazy Bull Fandango),"['Fandango - The Crazy Bull ', ' Fandango (Crazy Bull Fandango)', 'Fandango ']",291,Andy Fisher / Alberto ((1967)),"['Andy Fisher ', ' Alberto ((1967))']"
1038,551,I Sat And Thought And Wondered Why,['I Sat And Thought And Wondered Why'],294,Wally Tax,"['Wally Tax', 'Wally Ta']"
1047,557,You Got What It Takes,['You Got What It Takes'],296,Dave Clark 5,['Dave Clark 5']
1050,560,Op Een Mooie Pinksterdag,['Op Een Mooie Pinksterdag'],298,André Van Den Heuvel & Leen Jongewaard,['André Van Den Heuvel & Leen Jongewaard']
1064,577,Beestjes...,['Beestjes...'],305,Ronnie en The Ronnies,['Ronnie en The Ronnies']
591,582,Bottleparty,['Bottleparty'],158,Les Baroques,['Les Baroques']
681,604,Creeque Alley,['Creeque Alley'],192,The Mama's and The Papa's,"[""The Mama's and The Papa's""]"
1129,613,Alle Leuke Jongens Willen Vrijen,['Alle Leuke Jongens Willen Vrijen'],322,Gonnie Baars,['Gonnie Baars']
698,625,I've Been Lovin' You So Long,"[""I've Been Lovin' You So Long""]",196,Outsiders,['Outsiders']
1022,641,"Blommen, Kinders","['Blommen, Kinders']",285,Armand,['Armand']
1151,645,De Kinderen Zijn Niet Schuldig,['De Kinderen Zijn Niet Schuldig'],330,Gerard De Vries,['Gerard De Vries']
1165,663,Melodia (Horst Du Mein Heimliches Rufen),"['Melodia (Horst Du Mein Heimliches Rufen)', 'Melodia ', 'Horst Du Mein Heimliches Rufen', 'Melodia Horst Du Mein Heimliches Rufen']",337,John Woodhouse and His Magic Accordeon,['John Woodhouse and His Magic Accordeon']
1193,678,De Bostella,['De Bostella'],345,Johnny + Rijk,['Johnny + Rijk']
312,681,Tonight Will Be Stoned,['Tonight Will Be Stoned'],71,The Motions,['The Motions']
1213,687,"Baby, Now That I've Found You","[""Baby, Now That I've Found You""]",349,The Foundation,['The Foundation']
798,691,I 'm Wondering,"[""I 'm Wondering""]",228,Stevie Wonder,['Stevie Wonder']
1137,693,Wat Moet Ik Doen?,['Wat Moet Ik Doen?'],326,Patricia,['Patricia']
1031,702,De Ouwe Jacob,['De Ouwe Jacob'],288,Hetty Blok en Leen Jongewaard,['Hetty Blok en Leen Jongewaard']
863,703,Day Dream Believer,['Day Dream Believer'],246,The Monkees,['The Monkees']
672,704,Shame,['Shame'],189,Alan Price Set,['Alan Price Set']
1218,706,A Walk In The Sky,['A Walk In The Sky'],353,Flower Pot Men,['Flower Pot Men']
1176,712,Paradise Lost,['Paradise Lost'],340,The Herd,['The Herd']
1228,718,If I Promise,['If I Promise'],357,John Walker,['John Walker']
1237,731,Mien Waar Is M'n Feestneus?,"[""Mien Waar Is M'n Feestneus?""]",361,Toon,['Toon']
1242,741,Het Vissersmeisje,['Het Vissersmeisje'],366,John Woodhouse and His Magic Accordion,['John Woodhouse and His Magic Accordion']
1253,752,Waar Is De Neus Van Toon?,['Waar Is De Neus Van Toon?'],371,Thijs Van Der Molen,['Thijs Van Der Molen']
1280,763,De Kat Van Ome Willem,['De Kat Van Ome Willem'],375,"Wim Sonneveld met Hetty Blok, Leen Jongewaard, De Jonkies en orkest o.l.v. Harry Bannink","['Wim Sonneveld met Hetty Blok, Leen Jongewaard, De Jonkies en orkest o.l.v. Harry Bannink', 'Wim Sonneveld met Hetty Blok']"
1282,767,L'amour Est Bleu,"[""L'amour Est Bleu""]",377,Paul Mauriat and His Orchestra,['Paul Mauriat and His Orchestra']
1286,772,The Holy City,['The Holy City'],381,John Woodhouse and His Magic Accordion met Strijkorkest,['John Woodhouse and His Magic Accordion met Strijkorkest']
1292,776,Roosmarie,['Roosmarie'],385,John Lamers / Peter Orloff,"['John Lamers ', ' Peter Orloff']"
1059,796,Funkystreet,['Funkystreet'],302,Arthur Conley,['Arthur Conley']
1307,815,Bloemen Voor De Vrouw Waar Ik Van Hou,['Bloemen Voor De Vrouw Waar Ik Van Hou'],397,Duo De Koning met Orkest o.l.v. Gaby Dirne,['Duo De Koning met Orkest o.l.v. Gaby Dirne']
1288,826,"Mamma, Oh Mamma","['Mamma, Oh Mamma']",382,Egbert Douwe,['Egbert Douwe']
1319,832,Moest Dat Nou,['Moest Dat Nou'],406,The Martino's,"[""The Martino's""]"
1325,845,Because I Love You,['Because I Love You'],411,The Free ((NLD)),['The Free ((NLD))']
1340,858,Ik Kan Geen Kikker Van De Kant Afduwen,['Ik Kan Geen Kikker Van De Kant Afduwen'],418,Het Lowland Trio,['Het Lowland Trio']
1346,868,Nathaliê,['Nathaliê'],423,Mo & Po,['Mo & Po']
1347,870,"Hello, I Love You, Won't You Tell Me Your Name?","[""Hello, I Love You, Won't You Tell Me Your Name?""]",424,Doors,['Doors']
1350,871,"Oh, Lola!","['Oh, Lola!']",425,Johnny Blenco,['Johnny Blenco']
1392,886,Alice Long (You're Still My Favorite Girlfriend),"[""Alice Long (You're Still My Favorite Girlfriend)"", 'Alice Long ', ""You're Still My Favorite Girlfriend"", ""Alice Long You're Still My Favorite Girlfriend""]",437,Tommy Boyce & Bobby Hart,['Tommy Boyce & Bobby Hart']
1312,905,Girl Of Independent Means,['Girl Of Independent Means'],401,The Honeybus,['The Honeybus']
1447,909,Michaela,['Michaela'],451,De Domino's,"[""De Domino's""]"
1448,910,Ciao Baby,['Ciao Baby'],452,Group Check,['Group Check']
1536,925,"Love in Copenhagen (Thema Uit De N.C.R.V.-Tv Serie: ""Glazen Stad"")","['Love in Copenhagen (Thema Uit De N.C.R.V.-Tv Serie: ""Glazen Stad"")', 'Love in Copenhagen ', 'Love in Copenhagen (Thema Uit De N.C.R.V.', 'Thema Uit De N.C.R.V.-Tv Serie: ""Glazen Stad""', 'Love in Copenhagen Thema Uit De N.C.R.V.-Tv Serie: ""Glazen Stad""']",461,Studio-Orkest o.l.v. Tony Vos,"['Studio-Orkest o.l.v. Tony Vos', 'Studio']"
1334,930,The Music Box,['The Music Box'],414,The Hep Stars,['The Hep Stars']
1537,931,Heintje (Baue Ein Schloss Für Mich),"['Heintje (Baue Ein Schloss Für Mich)', 'Heintje ', 'Baue Ein Schloss Für Mich', 'Heintje Baue Ein Schloss Für Mich']",462,Gert Timmerman presenteert: Wilma,['Gert Timmerman presenteert: Wilma']
1326,936,Soul Party,['Soul Party'],411,The Free ((NLD)),['The Free ((NLD))']
1547,944,Henry The Horse,['Henry The Horse'],466,Gee Bros,['Gee Bros']
1548,945,Nonnenkoor,['Nonnenkoor'],467,John Woodhouse & His Magic Accordion,['John Woodhouse & His Magic Accordion']
1550,947,"Oh, Oh, Wat Een Familie!!!","['Oh, Oh, Wat Een Familie!!!']",469,Johnny & Rijk,['Johnny & Rijk']
1558,954,Jerushala'im Shel Zahav,"[""Jerushala'im Shel Zahav""]",472,Rika Zarai,['Rika Zarai']
1561,958,Ome Sjakie - Het Hele Zakie Loopt In Z'n Nakie,"[""Ome Sjakie - Het Hele Zakie Loopt In Z'n Nakie"", 'Ome Sjakie ']",474,De Praatpalen,['De Praatpalen']
1574,974,Race With The Devil,['Race With The Devil'],480,The Gun ((1968)),['The Gun ((1968))']
1575,975,Antoinette,['Antoinette'],481,Leo Den Hop,['Leo Den Hop']
1254,976,Drinke Totteme Zinke (Lily The Pink),"['Drinke Totteme Zinke (Lily The Pink)', 'Drinke Totteme Zinke ', 'Lily The Pink', 'Drinke Totteme Zinke Lily The Pink']",371,Thijs Van Der Molen,['Thijs Van Der Molen']
1578,977,Get Yourself A Ticket,['Get Yourself A Ticket'],482,Roek's Family,"[""Roek's Family""]"
1584,985,"Kiele, Kiele, Kiele ...","['Kiele, Kiele, Kiele ...']",486,Toon Hermans en De Driedonken Blaaskapel,['Toon Hermans en De Driedonken Blaaskapel']
1588,992,Casatschok,['Casatschok'],488,Dimitri Dourakine & Zijn Orkest,['Dimitri Dourakine & Zijn Orkest']
1529,997,'t Saunabad,"[""'t Saunabad""]",460,Tony Bass,['Tony Bass']
1591,1000,Casatschok,['Casatschok'],491,Les Dimitri's,"[""Les Dimitri's""]"
1327,1001,Keep In Touch,['Keep In Touch'],411,The Free ((NLD)),['The Free ((NLD))']
512,1004,Casatschok,['Casatschok'],123,Ria Valk,['Ria Valk']
1594,1008,Ik Weet Dat Jij Niet Nee Kan Zeggen,['Ik Weet Dat Jij Niet Nee Kan Zeggen'],494,Confetti Combo,['Confetti Combo']
1596,1010,"Hallo, Mijnheer Den Uil Je Onderbroek Is Vuil","['Hallo, Mijnheer Den Uil Je Onderbroek Is Vuil']",495,De Uilen,['De Uilen']
1597,1011,En We Drinken Tot We Zinken!,['En We Drinken Tot We Zinken!'],496,Johnny Hoes en De Feestneuzen,['Johnny Hoes en De Feestneuzen']
1599,1014,Hallo Mijnheer De Uil,['Hallo Mijnheer De Uil'],498,Fabeltjeskrant,['Fabeltjeskrant']
