,source,target,1
457,4YrKBkKSVeqDamzBPWVnSJ,1PXHzxRDiLnjqNrRn2Xbsa,1
459,4YrKBkKSVeqDamzBPWVnSJ,4sf3QZW8a3xZ14IGsOAzoy,1
463,4YrKBkKSVeqDamzBPWVnSJ,4aaBjq7VqqQvpSF69GglvO,1
465,4YrKBkKSVeqDamzBPWVnSJ,7hFdUW64G4iU1tz46ITRfN,1
466,4YrKBkKSVeqDamzBPWVnSJ,49H2dQUNhIlso7VNkS8nFR,1
467,4YrKBkKSVeqDamzBPWVnSJ,583EYzsIVCz1HsEKZbuJ1k,1
468,4YrKBkKSVeqDamzBPWVnSJ,60FV7KyxIH9FH1uq7u8inP,1
470,4YrKBkKSVeqDamzBPWVnSJ,0AEbDFXbsssoSoC3pj91eq,1
490,1nOTwY0FfKdXCBQiuQILbG,0lLdgPTqtnrceMYQKlHmK0,1
491,1nOTwY0FfKdXCBQiuQILbG,3kV8uLK5ibxfdB5mPdVmi6,1
493,1nOTwY0FfKdXCBQiuQILbG,2jtIQ2r2x8P4I23sIDDL3n,1
494,1nOTwY0FfKdXCBQiuQILbG,7isSKzkNHe3Tsmht2ar6Ai,1
495,1nOTwY0FfKdXCBQiuQILbG,73G7RMWMbWUGc8tkXeQoJQ,1
496,1nOTwY0FfKdXCBQiuQILbG,4Q7PRWyZrpaEWFd8I0gdtB,1
497,1nOTwY0FfKdXCBQiuQILbG,7t1YgV4PxSjBg9P8ZqE4Vo,1
498,1nOTwY0FfKdXCBQiuQILbG,1HoWbJFK5RdH4OAtpoxbgR,1
499,1nOTwY0FfKdXCBQiuQILbG,4jFkB3Lzjku9SFKUTP33WV,1
501,1nOTwY0FfKdXCBQiuQILbG,0e6dXSbAaFM0M9SlsgHIBj,1
502,1nOTwY0FfKdXCBQiuQILbG,1xzcQymo5Ejd1PU8XYD0iv,1
503,1nOTwY0FfKdXCBQiuQILbG,27aNYoqLUzogd4oSliq1Md,1
504,1nOTwY0FfKdXCBQiuQILbG,178yD2iAVWr5qYldTaWBA2,1
505,1nOTwY0FfKdXCBQiuQILbG,0X6CDvMiFMeLxVnKUq9oWy,1
506,1nOTwY0FfKdXCBQiuQILbG,5jWFYMXC1s1pj0u22ps4Sh,1
507,1nOTwY0FfKdXCBQiuQILbG,3h6rezLYXc5QU08SCKZtyO,1
508,1nOTwY0FfKdXCBQiuQILbG,4Rw9pvzG1NLs1RbB8cxBfW,1
509,1nOTwY0FfKdXCBQiuQILbG,58hFVpwYRp8sQdtANcMpiE,1
510,0N5PyKJzS3M1XNlaCL7bbE,60df5JBRRPcnSpsIMxxwQm,1
511,0N5PyKJzS3M1XNlaCL7bbE,2BVYdY4PyfCF9z4NrkhEB2,1
512,0N5PyKJzS3M1XNlaCL7bbE,4nts0oxMT67lVUoi5Kjxrb,1
513,0N5PyKJzS3M1XNlaCL7bbE,3rRmDmzPcAFwcUDvG5gBqO,1
515,0N5PyKJzS3M1XNlaCL7bbE,2AV6XDIs32ofIJhkkDevjm,1
516,0N5PyKJzS3M1XNlaCL7bbE,7xGGqA85UIWX1GoTVM4itC,1
517,0N5PyKJzS3M1XNlaCL7bbE,6hnWRPzGGKiapVX1UCdEAC,1
519,0N5PyKJzS3M1XNlaCL7bbE,4VnomLtKTm9Ahe1tZfmZju,1
520,0N5PyKJzS3M1XNlaCL7bbE,3dkbV4qihUeMsqN4vBGg93,1
521,0N5PyKJzS3M1XNlaCL7bbE,7lffJlv0nRl0sIsHDmo0SB,1
522,0N5PyKJzS3M1XNlaCL7bbE,3iRSHS3b4NUdjNbnw3Opg8,1
523,0N5PyKJzS3M1XNlaCL7bbE,2vDV0T8sxx2ENnKXds75e5,1
525,0N5PyKJzS3M1XNlaCL7bbE,1B8AXU6gIIafpyLEpbcv1u,1
526,0N5PyKJzS3M1XNlaCL7bbE,3plJVWt88EqjvtuB4ZDRV3,1
528,0N5PyKJzS3M1XNlaCL7bbE,6TKOZZDd5uV5KnyC5G4MUt,1
529,0N5PyKJzS3M1XNlaCL7bbE,10TSIJnyUcowWhpjj59gHB,1
530,0ap24Mjt6qlze8v667KlaF,1MOoTIFOvJ60ATvyRXPPXg,1
531,0ap24Mjt6qlze8v667KlaF,2u0gw0uCWBMiqV7h0N8kai,1
532,0ap24Mjt6qlze8v667KlaF,6zpPKMhpOoG646kJgZ7RKf,1
534,0ap24Mjt6qlze8v667KlaF,0FFuvdY7fuiuTmHN9unYoz,1
535,0ap24Mjt6qlze8v667KlaF,6rqU9HQ57NYGBnBzbrY3a4,1
536,0ap24Mjt6qlze8v667KlaF,132bJRT4s9nJz1CwLlfzFT,1
537,0ap24Mjt6qlze8v667KlaF,0L9xkvBPcEp1nrhDrodxc5,1
538,0ap24Mjt6qlze8v667KlaF,1fa0cOhromAZdq2xRA4vv8,1
